GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-service,com.example.accountservice.util,JwtUtil,18,124,1,11,7,41,2,12,1,7
account-service,com.example.accountservice.util,ValidateUtil,2,87,2,20,0,18,2,16,0,7
account-service,com.example.accountservice.util,UsernameGenerator,0,124,3,11,0,27,3,10,0,6
account-service,com.example.accountservice.service,AccountService,128,221,20,16,22,48,18,17,5,12
account-service,com.example.accountservice.service,OAuth2UserService,41,165,9,11,10,39,10,7,1,6
account-service,com.example.accountservice.service,RedisTokenService,43,65,0,0,12,16,2,4,2,4
account-service,com.example.accountservice.annotation,RoleCheckAspect,3,27,1,3,2,6,1,3,0,2
account-service,com.example.accountservice.controller,AuthController,60,7,4,0,15,2,3,2,1,2
account-service,com.example.accountservice.controller,AccountController,65,108,3,3,15,28,7,9,4,9
