GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-service,com.example.accountservice.util,JwtUtil,135,7,12,0,46,2,12,2,6,2
account-service,com.example.accountservice.util,ValidateUtil,70,19,19,3,10,8,13,5,2,5
account-service,com.example.accountservice.util,UsernameGenerator,117,7,14,0,25,2,11,2,4,2
account-service,com.example.accountservice.service,AccountService,294,55,35,1,59,11,32,3,14,3
account-service,com.example.accountservice.service,OAuth2UserService,199,7,20,0,47,2,15,2,5,2
account-service,com.example.accountservice.service,RedisTokenService,101,7,0,0,26,2,4,2,4,2
account-service,com.example.accountservice.annotation,RoleCheckAspect,3,27,1,3,2,6,1,3,0,2
account-service,com.example.accountservice.controller,AuthController,60,7,4,0,15,2,3,2,1,2
account-service,com.example.accountservice.controller,AccountController,144,29,6,0,35,8,13,3,10,3
