GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-service,com.example.accountservice.util,JwtUtil,135,7,12,0,46,2,12,2,6,2
account-service,com.example.accountservice.util,ValidateUtil,62,27,18,4,9,9,13,5,2,5
account-service,com.example.accountservice.util,UsernameGenerator,117,7,14,0,25,2,11,2,4,2
account-service,com.example.accountservice.service,AccountService,178,171,25,11,33,37,24,11,9,8
account-service,com.example.accountservice.service,OAuth2UserService,41,165,9,11,10,39,10,7,1,6
account-service,com.example.accountservice.service,RedisTokenService,43,65,0,0,12,16,2,4,2,4
account-service,com.example.accountservice.annotation,RoleCheckAspect,30,0,4,0,8,0,4,0,2,0
account-service,com.example.accountservice.controller,AuthController,60,7,4,0,15,2,3,2,1,2
account-service,com.example.accountservice.controller,AccountController,166,7,6,0,41,2,14,2,11,2
